// --------------------------------------------------------------------------
// Licensed Materials - Property of IBM
//
// 5725-A06 5725-A29 5724-Y48 5724-Y49 5724-Y54 5724-Y55
// Copyright IBM Corporation 1998, 2013. All Rights Reserved.
//
// Note to U.S. Government Users Restricted Rights:
// Use, duplication or disclosure restricted by GSA ADP Schedule
// Contract with IBM Corp.
// --------------------------------------------------------------------------

nbJobs = 20;
nbMchs = 10;

Ops = {
  <1,1,0>,
  <2,1,1>,
  <3,1,2>,
  <4,1,3>,
  <5,1,4>,
  <6,1,5>,
  <7,1,6>,
  <8,1,7>,
  <9,1,8>,
  <10,1,9>,
  <11,1,10>,
  <12,1,11>,
  <13,1,12>,
  <14,1,13>,
  <15,2,0>,
  <16,2,1>,
  <17,2,2>,
  <18,2,3>,
  <19,2,4>,
  <20,2,5>,
  <21,2,6>,
  <22,2,7>,
  <23,2,8>,
  <24,2,9>,
  <25,3,0>,
  <26,3,1>,
  <27,3,2>,
  <28,3,3>,
  <29,3,4>,
  <30,3,5>,
  <31,3,6>,
  <32,3,7>,
  <33,3,8>,
  <34,3,9>,
  <35,3,10>,
  <36,4,0>,
  <37,4,1>,
  <38,4,2>,
  <39,4,3>,
  <40,4,4>,
  <41,4,5>,
  <42,4,6>,
  <43,4,7>,
  <44,4,8>,
  <45,4,9>,
  <46,4,10>,
  <47,4,11>,
  <48,4,12>,
  <49,4,13>,
  <50,5,0>,
  <51,5,1>,
  <52,5,2>,
  <53,5,3>,
  <54,5,4>,
  <55,5,5>,
  <56,5,6>,
  <57,5,7>,
  <58,5,8>,
  <59,5,9>,
  <60,5,10>,
  <61,5,11>,
  <62,6,0>,
  <63,6,1>,
  <64,6,2>,
  <65,6,3>,
  <66,6,4>,
  <67,6,5>,
  <68,6,6>,
  <69,6,7>,
  <70,6,8>,
  <71,6,9>,
  <72,6,10>,
  <73,6,11>,
  <74,6,12>,
  <75,7,0>,
  <76,7,1>,
  <77,7,2>,
  <78,7,3>,
  <79,7,4>,
  <80,7,5>,
  <81,7,6>,
  <82,7,7>,
